Time(ms),x,y,z,qx,qy,qz,qw
82640,-0.7757091,-1.5913574,0.0698087,0.0279777,0.8530563,-0.0709608,0.5165008
82653,-0.7802312,-1.5917011,0.0430314,0.0237194,0.8483499,-0.0651359,0.5255666
82666,-0.7826141,-1.5912424,0.0271843,0.0260172,0.8451535,-0.0623351,0.5306610
82709,-0.7843029,-1.5917203,0.0167732,0.0278774,0.8428464,-0.0608667,0.5343196
82738,-0.7877827,-1.5925801,-0.0033744,0.0272304,0.8385286,-0.0565335,0.5418749
82768,-0.7905712,-1.5937240,-0.0198499,0.0264492,0.8348930,-0.0533319,0.5478967
82806,-0.7933676,-1.5947373,-0.0364191,0.0251027,0.8316700,-0.0502305,0.5532259
82848,-0.7966267,-1.5956342,-0.0559978,0.0236687,0.8281246,-0.0473100,0.5590224
82862,-0.8001954,-1.5963634,-0.0787169,0.0217790,0.8244839,-0.0458434,0.5647201
82905,-0.8011236,-1.5964780,-0.0877766,0.0207231,0.8238415,-0.0477601,0.5652047
82945,-0.8041514,-1.5970230,-0.1092344,0.0190046,0.8209024,-0.0473308,0.5697288
82960,-0.8062146,-1.5972444,-0.1278290,0.0180088,0.8188196,-0.0488586,0.5726050
83004,-0.8059609,-1.5969530,-0.1336527,0.0181406,0.8188158,-0.0517420,0.5720580
83043,-0.8077066,-1.5971769,-0.1525156,0.0168016,0.8167376,-0.0529602,0.5750167
83072,-0.8081455,-1.5970494,-0.1662058,0.0154732,0.8158060,-0.0550404,0.5761095
83114,-0.8074802,-1.5968661,-0.1740190,0.0143162,0.8157632,-0.0572707,0.5758401
83129,-0.8069955,-1.5969332,-0.1861135,0.0122456,0.8152428,-0.0595700,0.5763463
83171,-0.8047659,-1.5971895,-0.1855542,0.0105566,0.8162971,-0.0615345,0.5745241
83212,-0.8033720,-1.5975075,-0.1957680,0.0079896,0.8161449,-0.0630799,0.5746104
83239,-0.8003455,-1.5974540,-0.2021859,0.0057682,0.8167734,-0.0657377,0.5734082
83268,-0.7963368,-1.5964005,-0.2018059,0.0050462,0.8181923,-0.0700046,0.5708030
83296,-0.7924770,-1.5947689,-0.2021865,0.0043445,0.8196573,-0.0749923,0.5680277
83338,-0.7886511,-1.5925109,-0.2015295,0.0033238,0.8216637,-0.0806808,0.5643232
83376,-0.7839826,-1.5893929,-0.2025211,0.0008893,0.8247878,-0.0879820,0.5587077
83404,-0.7785503,-1.5855598,-0.1993983,-0.0011949,0.8299359,-0.0968937,0.5495836
83435,-0.7729370,-1.5824720,-0.1937537,-0.0019400,0.8357983,-0.1043579,0.5392849
83474,-0.7674293,-1.5797607,-0.1890632,-0.0015778,0.8411315,-0.1098917,0.5300275
83502,-0.7614143,-1.5767776,-0.1846375,0.0004980,0.8465170,-0.1145982,0.5207370
